Rank	City	Population (2000)	Latitude (DD)	Longitude (DD)
154	Bridgewater-gagebrook	7900	-42.740	147.220
155	Victor.harbor	7700	-35.550	138.620
156	Ararat	7600	-37.280	142.930
157	Somerville	7600		
158	Cooma	7600	-36.240	149.120
159	Castlemaine	7400	-37.070	144.210
160	Nelson.bay	7400	-32.720	152.150
161	Blackwater	7300	-23.580	148.880
162	Clifton_springs	7300	-38.150	144.570
163	Young	7200	-34.310	148.290
164	Carnarvon	7200	-24.890	113.640
165	Northam	7200	-31.660	116.660
166	Atherton	7100	-17.260	145.470
167	Roma	7100	-26.570	148.780
168	Somerville	7000	-38.220	145.170
169	Leeton	7000	-34.550	146.400
170	Healesville	7000	-37.660	145.520
171	Stawell	6900	-37.060	142.760
172	Crib_point	6800	-38.380	145.020
173	Narrabri	6800	-30.330	149.780
174	Nambucca_heads	6700	-30.600	152.980
175	Gatton	6600	-27.560	152.280
176	Torquay	6600	-25.280	152.870
177	Mittagong	6500	-34.450	150.430
178	Australind	6500	-33.310	115.700
179	Glenn_innes	6500	-29.740	151.740
180	Wonthaggi	6500	-38.610	145.590
181	Byron_bay	6500	-28.660	153.610
182	Moss_vale	6500	-34.550	150.370
183	Biloela	6400	-24.400	150.510
184	Cootamundra	6300	-34.650	148.010
185	Kyabram	6300	-36.320	145.050
186	Tumut	6300	-35.310	148.220
187	Corowa-wahgunyah	6200	-36.000	146.380
188	Ingham	6200	-18.650	146.150
189	Camden_haven	6200	-34.070	150.700
190	Leopold	6100	-38.180	144.460
191	Lakes_entrance	5800	-37.880	147.990
192	Lemon_tree.passage	5700	-32.770	152.010
193	New_norfolk	5600	-42.780	147.050
194	Medowie	5600	-32.740	151.860
195	Yarrawonga-mulwala	5600	-36.020	146.000
196	Kununurra	5500	-15.760	128.730
197	Wellington	5200	-32.560	148.950
198	Humpty_doo-macminns_lagoon	4700	-12.530	131.050
199	Tennant_creek	4100	-19.650	134.180
200	Nhulunbuy	3400	-12.190	136.760
201	Howard_springs	3100	-12.470	131.040
202	Yulara	2700	-25.230	131.060
204	Jabiru	1700	-12.670	132.880
205	Maningrida	1300	-12.070	134.080
206	Port_keats	1300	-14.250	129.540
207	Galiwinku	1300	-11.980	135.560
208	Alyangula	1200	-13.830	136.420
209	Nguiu	1200	-11.760	130.630
210	Milingimbi	917	-12.100	134.910
211	Ngukurr	881	-14.680	134.560
212	Coonawarra	879	-12.380	130.880
