Rank	City	Population (2000)	Latitude (DD)	Longitude (DD)
167	Fujieda	130800	34.880	138.260
168	Abiko	130500	35.880	140.030
169	Misato	130400	35.830	139.880
170	Tondabayashi	129200	34.520	135.600
171	Daito	129000	34.710	135.620
172	Isesaki	129000	36.320	139.200
173	Higashihiroshima	128600	34.440	132.720
174	Ebetsu	128200	43.120	141.550
175	Ueda	126400	36.400	138.250
176	Kashihara	126300	34.500	135.800
177	Beppu	125400	33.280	131.500
178	Asaka	125300	35.830	139.580
179	Matsusaka	124500	34.580	136.530
180	Kusatsu	123900	35.020	135.950
181	Niihama	123800	33.960	133.270
182	Mino	123500	34.830	135.470
183	Nobeoka	123400	32.580	131.680
184	Kisarazu	123200	35.380	139.930
185	Okinawa	123200	26.340	127.790
186	Kawachinagano	123100	34.480	135.570
187	Ebina	120900	35.470	139.420
188	Fujinomiya	120900	35.220	138.610
189	Noda	120800	35.950	139.870
190	Sanda	120600	34.890	135.220
191	Habikino	120100	34.560	135.610
192	Yaizu	119800	34.870	138.320
193	Toyokawa	119700	34.820	137.390
194	Ishinomaki	119200	38.430	141.290
195	Aizuwakamatsu	116900	37.490	139.930
196	Hofu	116500	34.050	131.570
197	Imabari	116300	34.060	133.000
198	Ikoma	115900	34.700	135.720
199	Higashikurume	115500	35.760	139.530
200	Kokubunji	115500	35.700	139.480
201	Toda	114500	35.820	139.680
202	Koganei	114200	35.720	139.520
203	Handa	114000	34.900	136.940
204	Kiryu	113100	36.430	139.330
205	Kitami	112600	43.810	143.890
206	Mishima	112200	35.120	138.920
207	Kuwana	111400	35.080	136.700
208	Hikone	111000	35.270	136.240
209	Iwatsuki	109700	35.960	139.700
210	Komatsu	108900	36.410	136.440
211	Kasuga	108800	33.540	130.470
212	Iida	107600	35.520	137.830
213	Urasoe	107500	26.260	127.730
214	Fujimi	107300	35.870	139.540
215	Akishima	107000	35.700	139.360
216	Fukaya	105900	36.210	139.280
217	Tajimi	105700	35.330	137.130
218	Yatsushiro	105100	32.510	130.600
219	Hoya	104900	35.740	139.580
220	Kamagaya	104800	35.770	140.010
221	Iwakuni	104400	34.170	132.230
222	Nishio	102600	34.870	137.060
223	Tokuyama	102100	34.050	131.800
224	Inazawa	101800	35.250	136.770
225	Isehara	101300	35.410	139.320
226	Sakata	100800	38.910	139.830
227	Tokai	100700	35.030	136.890
228	Ikeda	100100	34.820	135.430
229	Tsuruoka	100100	38.730	139.820
230	Konan	99900	35.340	136.860
231	Muroran	99800	42.340	141.010
232	Chikushino	99600	33.480	130.520
233	Ise	98900	34.490	136.710
234	Narita	98700	35.790	140.320
235	Izumisano	98000	34.420	135.320
236	Sakado	97400	35.950	139.410
237	Isahaya	95800	32.840	130.050
238	Kameoka	95600	35.020	135.570
239	Mobara	95600	35.430	140.290
240	Takasago	95400	34.800	134.650
241	Kanuma	94800	36.570	139.750
242	Yonezawa	94800	37.910	140.100
243	Kani	94600	35.430	137.070
244	Maizuru	93600	35.450	135.320
245	Yamatokoriyama	93400	34.640	135.790
246	Onojo	93300	33.540	130.480
247	Higashimatsuyama	93200	36.050	139.400
248	Kitakami	93000	39.290	141.120
249	Kimitsu	92100	35.330	139.910
250	Onomichi	91900	34.410	133.190
251	Chitose	90900	42.830	141.640
252	Kaizuka	90600	34.450	135.360
253	Ginowan	89700	26.300	127.790
254	Tsuyama	89600	35.070	134.010
255	Ashiya	89000	34.730	135.310
256	Izumo	88200	35.360	132.750
257	Iwata	87800	34.720	137.850
258	Gyoda	86800	36.140	139.470
259	Omura	86800	32.910	129.950
260	Kashiwazaki	86700	37.380	138.570
261	Konosu	86600	36.050	139.530
262	Hamakita	85700	34.800	137.780
263	Nabari	85200	34.630	136.090
264	Hanno	85100	35.860	139.320
265	Iwamizawa	84800	43.200	141.760
266	Yotsukaido	84800	35.680	140.170
267	Munakata	84400	33.810	130.550
268	Settsu	83900	34.780	135.550
269	Yono	83900	35.900	139.620
270	Joyo	83700	34.860	135.770
271	Sanjo	83500	37.620	138.960
272	Tochigi	83200	36.380	139.730
273	Gotemba	83100	35.310	138.930
274	Sano	83100	36.320	139.580
275	Chita	82300	35.000	136.860
276	Kakegawa	82300	34.770	138.030
277	Ayase	82000	35.440	139.430
278	Gamagori	81800	34.840	137.230
279	Kanoya	81700	31.380	130.850
280	Toride	81500	35.900	140.070
281	Ryugasaki	81300	35.910	140.190
282	Marugame	81100	34.290	133.790
283	Mihara	81100	34.400	133.080
284	Tatebayashi	80900	36.250	139.530
285	Akiruno	80700	35.720	139.290
286	Tanashi	80700	35.740	139.550
287	Shibata	80600	37.940	139.320
288	Iizuka	79400	33.640	130.690
289	Katano	79400	34.780	135.680
290	Kashiwara	78700	34.590	135.640
291	Izumiotsu	78600	34.500	135.410
292	Karatsu	78400	33.440	129.970
293	Owariashi	78400	35.220	137.030
294	Higashiyamato	78300	35.740	139.410
295	Choshi	77400	35.750	140.810
296	Nagaokakyo	77300	34.930	135.700
297	Yachimata	77200	35.660	140.310
298	Ushiku	77100	36.000	140.140
299	Obu	77000	35.010	136.960
300	Komae	76900	35.630	139.580
