problem, generation, min, mean, stdev, max
jp50, 16, 14, -298256.32, -23809.92, 76221.93, 38945.87
jp50, 17, 14, -23834.73, 8251.53, 12817.12, 38945.87
jp50, 18, 14, -0.00, 13603.87, 11297.09, 38945.87
jp50, 19, 14, -0.00, 17463.97, 11515.01, 45861.41
jp50, 20, 14, 9097.54, 21752.18, 10739.70, 52026.96
jp50, 21, 14, 11389.12, 25768.46, 11216.85, 65400.90
jp50, 22, 14, 13121.22, 30331.72, 10215.57, 65400.90
jp50, 23, 14, 20238.70, 35739.44, 9619.63, 65400.90
jp50, 24, 14, 25257.14, 39279.03, 10124.21, 65400.90
jp50, 25, 14, 32023.30, 45796.87, 10643.85, 66789.71
jp50, 26, 14, 37151.77, 49591.08, 10383.48, 66789.71
jp50, 27, 14, 38613.78, 54166.73, 9813.56, 70253.65
jp50, 28, 14, 44721.54, 59159.23, 8574.02, 93547.30
jp50, 29, 14, 48412.14, 62591.91, 7420.49, 93547.30
jp50, 30, 14, 56410.66, 66296.73, 7199.42, 97992.77
jp50, 31, 14, 63329.76, 69163.46, 8138.16, 97992.77
jp50, 32, 14, 64158.44, 72092.33, 10417.69, 110414.46
jp50, 33, 14, 65400.90, 76847.14, 13144.07, 110467.38
jp50, 34, 14, 66560.48, 82522.75, 14096.47, 113307.47
jp50, 35, 14, 68769.24, 88677.96, 13389.99, 113307.47
jp50, 36, 14, 74766.74, 95040.38, 10738.02, 115566.52
jp50, 37, 14, 86666.84, 100071.60, 7337.15, 115566.52
jp50, 38, 14, 93960.53, 103071.37, 6889.07, 115566.52
jp50, 39, 14, 96383.38, 106344.08, 6277.93, 116408.01
jp50, 40, 14, 97992.77, 109088.34, 5005.12, 116408.01
jp50, 41, 14, 102215.12, 110848.66, 3405.03, 116408.01
jp50, 42, 14, 107492.87, 112599.06, 2436.01, 119789.15
jp50, 43, 14, 110589.77, 113707.65, 2162.42, 119789.15
jp50, 44, 14, 111263.83, 114560.66, 2061.77, 121689.74
jp50, 45, 14, 112123.53, 115209.58, 1858.15, 121689.74
jp50, 46, 14, 113307.47, 115850.95, 1711.88, 121689.74
jp50, 47, 14, 114472.97, 116522.49, 1737.81, 121689.74
jp50, 48, 14, 114911.01, 116959.66, 1691.56, 121689.74
jp50, 49, 14, 115566.52, 117417.98, 1754.06, 121689.74
jp50, 50, 14, 115822.13, 117935.93, 1788.93, 122485.37
jp50, 51, 14, 116059.05, 118670.15, 1735.00, 122485.37
jp50, 52, 14, 116993.63, 119464.91, 1601.29, 122485.37
jp50, 53, 14, 117655.67, 120142.02, 1423.35, 122561.85
jp50, 54, 14, 118874.67, 120727.89, 1090.78, 122561.85
jp50, 55, 14, 119262.67, 121066.37, 952.93, 122561.85
jp50, 56, 14, 119819.56, 121460.67, 706.85, 122561.85
jp50, 57, 14, 120801.52, 121739.93, 535.50, 122859.03
jp50, 58, 14, 120994.22, 121864.27, 468.45, 122859.03
jp50, 59, 14, 121219.71, 121965.76, 419.63, 122859.03
jp50, 60, 14, 121659.95, 122146.80, 379.61, 123002.66
jp50, 0, 15, -922723.03, -567498.29, 136401.06, -0.00
jp50, 1, 15, -756303.19, -532695.88, 110142.03, -0.00
jp50, 2, 15, -668341.28, -504399.54, 97719.74, -0.00
jp50, 3, 15, -632299.43, -480427.95, 90729.47, -0.00
jp50, 4, 15, -592821.81, -460974.85, 87841.44, -0.00
jp50, 5, 15, -554501.36, -438095.29, 82447.35, -0.00
jp50, 6, 15, -540400.81, -426150.94, 80345.36, -0.00
jp50, 7, 15, -514310.45, -404350.86, 87890.17, -0.00
jp50, 8, 15, -500028.09, -382282.24, 94701.89, -0.00
jp50, 9, 15, -486139.47, -361049.12, 98317.79, -0.00
jp50, 10, 15, -451747.71, -319102.33, 119006.05, 12010.16
jp50, 11, 15, -421541.85, -299375.05, 117928.43, 12010.16
jp50, 12, 15, -409373.20, -275498.36, 118536.93, 12010.16
jp50, 13, 15, -386933.87, -232649.06, 128319.31, 32519.74
jp50, 14, 15, -308927.82, -184465.87, 125067.82, 71710.59
jp50, 15, 15, -287044.13, -128996.01, 125415.00, 71710.59
jp50, 16, 15, -266598.96, -64697.62, 103902.30, 71710.59
jp50, 17, 15, -151376.92, -7147.41, 50438.73, 71710.59
jp50, 18, 15, -17951.27, 23177.95, 26031.96, 83944.29
jp50, 19, 15, 4770.18, 37644.05, 23617.58, 83944.29
jp50, 20, 15, 16334.31, 51938.92, 19224.18, 83944.29
jp50, 21, 15, 34614.96, 63332.24, 12136.49, 91161.26
jp50, 22, 15, 51285.27, 68840.86, 8295.93, 91161.26
jp50, 23, 15, 59135.31, 72737.83, 7326.76, 98766.04
jp50, 24, 15, 67910.58, 76849.10, 7875.96, 115508.26
jp50, 25, 15, 70985.53, 80910.54, 9617.12, 115508.26
jp50, 26, 15, 73606.21, 85144.47, 9595.47, 116900.97
jp50, 27, 15, 75989.78, 89478.05, 10124.42, 116900.97
jp50, 28, 15, 80544.46, 93529.69, 10390.18, 116900.97
jp50, 29, 15, 85983.29, 99670.06, 10044.02, 116900.97
jp50, 30, 15, 91161.26, 104201.38, 8564.92, 116900.97
jp50, 31, 15, 95628.99, 108786.31, 6534.73, 118531.56
jp50, 32, 15, 101373.18, 111432.01, 4850.02, 118531.56
jp50, 33, 15, 106730.99, 113847.52, 3294.56, 121076.50
jp50, 34, 15, 110260.89, 115110.27, 2557.49, 121076.50
jp50, 35, 15, 112582.85, 116377.45, 1940.12, 121076.50
jp50, 36, 15, 114251.14, 117133.25, 1914.48, 124739.72
jp50, 37, 15, 115423.46, 117862.89, 2024.94, 124739.72
jp50, 38, 15, 116149.36, 118504.96, 2041.51, 124739.72
jp50, 39, 15, 116819.77, 119516.48, 2122.47, 124739.72
jp50, 40, 15, 117706.69, 120509.34, 2233.28, 125636.67
jp50, 41, 15, 118531.56, 121260.94, 2077.76, 125636.67
jp50, 42, 15, 119255.17, 121956.43, 1945.88, 125636.67
jp50, 43, 15, 120350.10, 122911.27, 1659.92, 125636.67
jp50, 44, 15, 121076.50, 123623.92, 1396.71, 125800.05
jp50, 45, 15, 121881.41, 124232.98, 956.03, 125800.05
jp50, 46, 15, 123087.18, 124617.33, 670.59, 125800.05
jp50, 47, 15, 124208.16, 124941.17, 482.04, 126105.35
jp50, 48, 15, 124558.37, 125144.93, 464.89, 126269.95
jp50, 49, 15, 124739.72, 125259.01, 462.92, 126269.95
jp50, 50, 15, 124739.72, 125357.60, 455.78, 126269.95
jp50, 51, 15, 124739.72, 125555.44, 379.47, 126269.95
jp50, 0, 16, -834645.36, -541619.23, 121419.03, -0.00
jp50, 1, 16, -686539.43, -510531.87, 104729.75, -0.00
jp50, 2, 16, -657908.99, -498052.39, 98153.64, -0.00
jp50, 3, 16, -620367.13, -476872.71, 105354.93, -0.00
jp50, 4, 16, -599780.13, -451443.03, 99257.88, -0.00
jp50, 5, 16, -554997.95, -421494.18, 100278.74, -0.00
jp50, 6, 16, -534903.96, -405356.12, 103414.70, -0.00
jp50, 7, 16, -504206.95, -382276.37, 112409.37, -0.00
jp50, 8, 16, -485442.09, -361984.45, 112680.93, -0.00
jp50, 9, 16, -473620.81, -345198.00, 120142.46, 13053.15
jp50, 10, 16, -419305.43, -292757.79, 143194.77, 65561.30
jp50, 11, 16, -393091.73, -248214.28, 154380.21, 65561.30
jp50, 12, 16, -373239.36, -194370.08, 162020.29, 65561.30
jp50, 13, 16, -339725.87, -108783.99, 145204.51, 65561.30
jp50, 14, 16, -298992.63, -49224.10, 102253.74, 65561.30
jp50, 15, 16, -71436.99, 3760.60, 23976.15, 75062.80
jp50, 16, 16, -0.00, 15371.12, 20778.37, 75062.80
jp50, 17, 16, -0.00, 21867.37, 23693.59, 80479.70
jp50, 18, 16, 1245.85, 33233.68, 24667.77, 80479.70
jp50, 19, 16, 8729.51, 44966.69, 23056.82, 84229.74
jp50, 20, 16, 23285.20, 56048.70, 18589.09, 87253.11
jp50, 21, 16, 36070.27, 64662.01, 13361.88, 87972.08
jp50, 22, 16, 49418.93, 70015.47, 9760.23, 87972.08
jp50, 23, 16, 62133.87, 74768.00, 7399.86, 87972.08
jp50, 24, 16, 66864.52, 78978.98, 6128.94, 90495.98
jp50, 25, 16, 71477.37, 81837.34, 5865.34, 117601.04
jp50, 26, 16, 77625.84, 84274.71, 5845.66, 117601.04
jp50, 27, 16, 80479.70, 86621.00, 6921.90, 117601.04
jp50, 28, 16, 81686.58, 88368.53, 8459.90, 118086.71
jp50, 29, 16, 84032.09, 90691.41, 9909.35, 118086.71
jp50, 30, 16, 85035.50, 94588.42, 11694.56, 118272.59
jp50, 31, 16, 87101.64, 99797.66, 12326.77, 118272.59
jp50, 32, 16, 87489.78, 104397.15, 11746.85, 118272.59
jp50, 33, 16, 91198.51, 109810.92, 8561.49, 118272.59
jp50, 34, 16, 102801.35, 113962.98, 4525.14, 118272.59
jp50, 35, 16, 109103.23, 115643.74, 2780.86, 118272.59
jp50, 36, 16, 113268.88, 116891.71, 1277.41, 118272.59
jp50, 37, 16, 115907.99, 117459.12, 596.88, 118272.59
jp50, 38, 16, 116959.67, 117698.83, 384.46, 118272.59
jp50, 0, 17, -844720.38, -545735.86, 128325.77, -0.00
jp50, 1, 17, -692272.11, -501430.51, 119037.90, -0.00
jp50, 2, 17, -653044.13, -470852.47, 126808.75, -0.00
jp50, 3, 17, -611427.96, -434979.83, 143361.18, -0.00
jp50, 4, 17, -582287.98, -413041.47, 154435.46, -0.00
jp50, 5, 17, -567398.86, -402671.18, 150136.83, -0.00
jp50, 6, 17, -534435.16, -353070.47, 167591.64, 35173.75
jp50, 7, 17, -493907.66, -287755.75, 178155.58, 35518.02
jp50, 8, 17, -449375.43, -217168.29, 183917.72, 58606.48
jp50, 9, 17, -386428.04, -125812.10, 164066.59, 61134.77
jp50, 10, 17, -314816.10, -26687.95, 85246.16, 71024.09
jp50, 11, 17, -22466.69, 16423.32, 23139.79, 76277.97
jp50, 12, 17, -0.00, 28842.93, 22251.44, 76277.97
jp50, 13, 17, 7188.21, 39821.93, 18596.50, 87359.16
jp50, 14, 17, 21501.57, 48879.88, 15893.32, 87359.16
jp50, 15, 17, 34020.42, 57266.26, 11975.71, 93082.62
jp50, 16, 17, 49766.18, 63127.31, 10663.52, 106765.17
jp50, 17, 17, 55259.87, 67652.97, 10575.24, 106765.17
jp50, 18, 17, 58606.48, 72201.81, 11120.82, 106765.17
jp50, 19, 17, 60558.42, 77131.46, 11800.41, 114460.38
jp50, 20, 17, 67983.92, 82189.51, 10922.10, 114460.38
jp50, 21, 17, 71544.00, 86437.61, 10945.96, 114460.38
jp50, 22, 17, 76277.97, 90703.95, 10123.07, 114543.52
jp50, 23, 17, 80982.60, 94822.39, 9348.78, 114543.52
jp50, 24, 17, 86066.55, 99371.06, 8387.90, 114543.52
jp50, 25, 17, 89705.59, 102732.79, 6911.39, 114543.52
jp50, 26, 17, 96282.51, 105947.88, 5309.57, 114543.52
jp50, 27, 17, 101163.41, 108693.11, 4216.21, 114593.82
jp50, 28, 17, 104347.99, 110533.18, 3101.99, 114593.82
jp50, 29, 17, 107169.40, 112114.72, 2384.97, 121761.60
jp50, 30, 17, 110022.44, 113277.28, 1735.42, 121761.60
jp50, 31, 17, 111579.42, 113721.54, 1438.83, 121761.60
jp50, 32, 17, 112497.67, 114220.74, 1691.22, 121761.60
jp50, 33, 17, 113034.13, 114676.69, 2044.31, 121761.60
jp50, 34, 17, 113546.59, 115207.69, 2384.71, 121820.96
jp50, 35, 17, 113719.69, 115769.17, 2788.08, 124939.82
jp50, 36, 17, 114006.56, 116910.72, 3449.74, 129456.29
jp50, 37, 17, 114444.32, 118099.16, 3580.59, 129456.29
jp50, 38, 17, 114533.35, 119811.77, 3629.32, 129619.58
jp50, 39, 17, 114851.51, 121235.70, 2932.72, 129619.58
jp50, 40, 17, 120389.55, 122687.82, 2209.78, 129619.58
jp50, 41, 17, 121088.09, 123353.79, 2412.28, 129960.50
jp50, 42, 17, 121456.97, 124368.74, 2954.36, 132368.40
jp50, 43, 17, 121761.60, 125786.73, 3192.54, 132771.67
jp50, 44, 17, 121858.74, 126876.73, 3062.98, 134927.75
jp50, 45, 17, 124403.20, 128202.90, 2852.44, 136860.05
jp50, 46, 17, 124939.82, 128931.39, 2661.38, 136860.05
jp50, 47, 17, 125123.32, 129554.02, 2370.02, 137605.83
jp50, 48, 17, 126585.89, 130430.62, 2018.30, 137605.83
jp50, 49, 17, 128864.72, 131064.95, 2034.63, 137605.83
jp50, 50, 17, 129164.47, 131520.56, 2082.94, 137605.83
jp50, 51, 17, 129960.50, 132367.33, 2201.63, 137975.51
jp50, 52, 17, 130203.09, 133100.12, 2144.71, 137975.51
jp50, 53, 17, 130678.18, 133933.15, 2112.99, 137975.51
jp50, 54, 17, 131838.90, 134947.22, 1793.21, 137975.51
jp50, 55, 17, 132655.96, 135646.41, 1516.59, 137975.51
jp50, 56, 17, 133910.77, 136249.78, 1189.29, 137975.51
jp50, 57, 17, 134927.75, 136774.10, 902.30, 137975.51
jp50, 58, 17, 135676.30, 137090.95, 751.18, 139250.88
jp50, 59, 17, 136194.02, 137354.77, 659.80, 139250.88
jp50, 60, 17, 136466.42, 137512.05, 559.73, 139250.88
jp50, 61, 17, 136560.11, 137561.50, 519.66, 139250.88
jp50, 62, 17, 136860.05, 137683.90, 482.79, 139250.88
jp50, 63, 17, 136860.05, 137802.75, 379.43, 139250.88
jp50, 0, 18, -1002834.00, -556630.31, 130019.24, -0.00
jp50, 1, 18, -703156.34, -507082.13, 114733.50, -0.00
jp50, 2, 18, -671131.26, -498586.06, 109020.33, -0.00
jp50, 3, 18, -627390.87, -478722.34, 106609.47, -0.00
jp50, 4, 18, -602881.37, -459779.33, 113916.99, -0.00
jp50, 5, 18, -571768.42, -441295.63, 108319.10, -0.00
jp50, 6, 18, -553838.10, -411604.77, 126564.64, 13822.74
jp50, 7, 18, -537881.61, -393841.81, 120443.26, 13822.74
jp50, 8, 18, -512698.96, -371065.70, 127786.34, 28563.96
jp50, 9, 18, -490605.00, -342682.64, 134503.83, 28563.96
jp50, 10, 18, -464755.60, -312500.42, 142678.18, 33830.68
jp50, 11, 18, -419602.11, -272202.54, 152692.25, 35015.18
jp50, 12, 18, -396698.67, -222570.38, 165009.45, 35015.18
jp50, 13, 18, -351694.30, -138617.12, 162718.89, 51445.31
jp50, 14, 18, -316046.25, -61747.68, 129334.20, 62160.29
jp50, 15, 18, -102583.19, 11075.82, 28764.47, 62160.29
jp50, 16, 18, -0.00, 26289.55, 17397.92, 62160.29
jp50, 17, 18, 13822.74, 36650.36, 12902.73, 75051.69
jp50, 18, 18, 29216.86, 43283.95, 11071.82, 75051.69
jp50, 19, 18, 33154.85, 48867.70, 11423.57, 81578.51
jp50, 20, 18, 37482.38, 55416.39, 10818.52, 81578.51
jp50, 21, 18, 48243.78, 60327.65, 9000.46, 87063.28
jp50, 22, 18, 51957.71, 65040.47, 9071.65, 87551.29
jp50, 23, 18, 56832.68, 69631.01, 9349.11, 105910.35
jp50, 24, 18, 62160.29, 75008.32, 10815.18, 105998.51
jp50, 25, 18, 66167.56, 79157.72, 10919.78, 105998.51
jp50, 26, 18, 69093.26, 84834.29, 11363.61, 105998.51
jp50, 27, 18, 74252.75, 90763.70, 10728.13, 111429.33
jp50, 28, 18, 80616.94, 95525.27, 9176.63, 111429.33
jp50, 29, 18, 84426.69, 98769.15, 7679.45, 111429.33
jp50, 30, 18, 92845.78, 103421.68, 4766.26, 113715.14
jp50, 31, 18, 98726.34, 105712.49, 4111.96, 121108.91
jp50, 32, 18, 102961.13, 107860.02, 3721.62, 121108.91
jp50, 33, 18, 104167.64, 109307.54, 3338.98, 121108.91
jp50, 34, 18, 105910.35, 110719.96, 3089.88, 122424.65
jp50, 35, 18, 107610.96, 111796.63, 2722.68, 122424.65
jp50, 36, 18, 109338.16, 112468.08, 2636.23, 122424.65
jp50, 37, 18, 110575.40, 113388.56, 2758.92, 122424.65
jp50, 38, 18, 111217.73, 114415.13, 3272.40, 124087.85
jp50, 39, 18, 111642.14, 115499.05, 3479.26, 124087.85
jp50, 40, 18, 112522.26, 116906.87, 3629.85, 124501.92
jp50, 41, 18, 113165.07, 118125.34, 3425.31, 124501.92
jp50, 42, 18, 114170.29, 119535.23, 2939.77, 125461.54
jp50, 43, 18, 115828.32, 120560.42, 2493.51, 128123.70
jp50, 44, 18, 117722.33, 121616.49, 1758.85, 128123.70
jp50, 45, 18, 119981.94, 122335.10, 1785.13, 133171.69
jp50, 46, 18, 120551.18, 122936.05, 2095.51, 133171.69
jp50, 47, 18, 121067.88, 123283.04, 1993.95, 133171.69
jp50, 48, 18, 121536.23, 123645.46, 1966.04, 133171.69
jp50, 49, 18, 122314.32, 124621.35, 2774.99, 133225.69
jp50, 50, 18, 122716.69, 125355.67, 3103.61, 134004.39
jp50, 51, 18, 122776.31, 126696.81, 3894.73, 136148.70
jp50, 52, 18, 123622.75, 128455.10, 4152.11, 138057.75
jp50, 53, 18, 124087.85, 129446.19, 4114.50, 138057.75
jp50, 54, 18, 124820.36, 130863.34, 3852.36, 138934.01
jp50, 55, 18, 126352.65, 132412.48, 3071.50, 138934.01
jp50, 56, 18, 128556.88, 133418.64, 2680.81, 138934.01
jp50, 57, 18, 130580.22, 134610.62, 2492.71, 141162.81
jp50, 58, 18, 131254.13, 135191.10, 2248.23, 141162.81
jp50, 59, 18, 132924.53, 135920.60, 1987.32, 141162.81
jp50, 60, 18, 133791.33, 137035.38, 1767.07, 142112.74
jp50, 61, 18, 135327.00, 137548.42, 1484.18, 142112.74
jp50, 62, 18, 135971.16, 138108.19, 1544.76, 142112.74
jp50, 63, 18, 136582.16, 138556.47, 1399.57, 142112.74
jp50, 64, 18, 137202.39, 139290.61, 1324.99, 142112.74
jp50, 65, 18, 137935.56, 139593.39, 1262.42, 142112.74
jp50, 66, 18, 138132.66, 140041.66, 1245.36, 142333.52
jp50, 67, 18, 138858.17, 140574.95, 1044.46, 142333.52
jp50, 68, 18, 139452.98, 141026.28, 834.18, 142333.52
jp50, 69, 18, 139973.22, 141287.16, 688.71, 142333.52
jp50, 70, 18, 140404.80, 141477.47, 582.08, 142333.52
jp50, 71, 18, 140774.08, 141731.60, 441.71, 142333.52
jp50, 72, 18, 141162.81, 141899.97, 329.79, 142333.52
jp50, 0, 19, -771045.66, -554979.77, 120233.05, -0.00
jp50, 1, 19, -746757.20, -538659.95, 119366.19, -0.00
jp50, 2, 19, -674003.55, -510346.21, 117257.21, -0.00
jp50, 3, 19, -659737.21, -483947.29, 116787.79, -0.00
jp50, 4, 19, -632232.89, -445679.65, 106805.28, -0.00
jp50, 5, 19, -577082.80, -425729.06, 101131.26, -0.00
jp50, 6, 19, -551466.25, -404319.49, 98120.15, -0.00
jp50, 7, 19, -514294.14, -371353.00, 87417.78, -0.00
jp50, 8, 19, -497680.74, -351401.20, 77402.06, -0.00
jp50, 9, 19, -455078.82, -325795.06, 60580.78, -0.00
jp50, 10, 19, -406339.57, -306240.36, 47455.98, -0.00
jp50, 11, 19, -339455.67, -290584.43, 39331.55, -0.00
jp50, 12, 19, -329374.07, -279080.04, 37278.64, -0.00
jp50, 13, 19, -303604.27, -269899.12, 34735.18, -0.00
jp50, 14, 19, -292867.34, -259058.40, 39245.01, -0.00
jp50, 15, 19, -286660.11, -248956.13, 38291.30, -0.00
jp50, 16, 19, -270388.83, -236112.84, 42867.73, -0.00
jp50, 17, 19, -264798.08, -223791.82, 46765.88, -0.00
jp50, 18, 19, -259130.65, -217277.51, 45047.22, -0.00
jp50, 19, 19, -253175.22, -207849.31, 48067.13, -0.00
jp50, 20, 19, -240553.83, -196809.71, 50813.04, -0.00
jp50, 21, 19, -231252.05, -186223.46, 56706.07, -0.00
jp50, 22, 19, -221745.18, -167686.33, 65934.66, -0.00
jp50, 23, 19, -211089.86, -145329.21, 75857.49, 36378.81
jp50, 24, 19, -201525.20, -118673.38, 83330.94, 36378.81
jp50, 25, 19, -192938.67, -97558.55, 84963.45, 36378.81
jp50, 26, 19, -183897.02, -64565.73, 80112.47, 36378.81
jp50, 27, 19, -159127.28, -23832.29, 55810.29, 53625.04
jp50, 28, 19, -66808.92, 301.12, 29147.15, 53625.04
jp50, 29, 19, -16010.06, 17227.19, 17097.87, 61276.91
jp50, 30, 19, -0.00, 24823.40, 15898.09, 64534.39
jp50, 31, 19, 11659.27, 33005.95, 13435.95, 64534.39
jp50, 32, 19, 20431.82, 38048.81, 12828.87, 66302.85
jp50, 33, 19, 26959.00, 44699.90, 11442.65, 68833.05
jp50, 34, 19, 33678.40, 49631.35, 10913.53, 69738.69
jp50, 35, 19, 37806.74, 55509.73, 10045.29, 93674.07
jp50, 36, 19, 47331.14, 59774.20, 7634.09, 93674.07
jp50, 37, 19, 49594.23, 62671.46, 6909.91, 93674.07
jp50, 38, 19, 57042.50, 66430.22, 7840.68, 102563.60
jp50, 39, 19, 61384.17, 69899.01, 10562.21, 110198.91
jp50, 40, 19, 62711.30, 74422.50, 13403.13, 112287.55
jp50, 41, 19, 64719.60, 78929.28, 14588.81, 113420.84
jp50, 42, 19, 67561.16, 85817.27, 15054.30, 113420.84
jp50, 43, 19, 71039.08, 94382.99, 13382.26, 113420.84
jp50, 44, 19, 78760.60, 101308.91, 9013.58, 115720.40
jp50, 45, 19, 94683.22, 105497.62, 5486.18, 115720.40
jp50, 46, 19, 98801.24, 107337.07, 4463.18, 117455.11
jp50, 47, 19, 102563.60, 109012.32, 3412.99, 117455.11
jp50, 48, 19, 104681.56, 110353.50, 2549.33, 117455.11
jp50, 49, 19, 107425.34, 111325.05, 2329.31, 117768.93
jp50, 50, 19, 108813.79, 111926.43, 2441.67, 121665.11
jp50, 51, 19, 109903.35, 112861.08, 2665.06, 122961.57
jp50, 52, 19, 110665.09, 114422.35, 3154.72, 123384.43
jp50, 53, 19, 111587.47, 115587.33, 3316.24, 127111.34
jp50, 54, 19, 112526.88, 116899.78, 3175.99, 127111.34
jp50, 55, 19, 113709.87, 118169.82, 3192.30, 127111.34
jp50, 56, 19, 114668.91, 119296.27, 2771.30, 127111.34
jp50, 57, 19, 116896.96, 120610.58, 2359.04, 127111.34
jp50, 58, 19, 118094.92, 121616.59, 2079.71, 127111.34
jp50, 59, 19, 119162.68, 122474.27, 1932.12, 128717.06
jp50, 60, 19, 120632.83, 123040.96, 1746.95, 128717.06
jp50, 61, 19, 121665.11, 123791.69, 1822.22, 128808.01
jp50, 62, 19, 122459.17, 124472.05, 1878.11, 128808.01
jp50, 63, 19, 122712.80, 125069.70, 1959.92, 129933.90
jp50, 64, 19, 123044.70, 125799.74, 1844.46, 129933.90
jp50, 65, 19, 123408.38, 126655.16, 1693.06, 130229.71
jp50, 66, 19, 124435.35, 127282.26, 1478.03, 130323.39
jp50, 67, 19, 125829.08, 127914.40, 1228.77, 130918.98
jp50, 68, 19, 126646.76, 128210.08, 1105.57, 130918.98
jp50, 69, 19, 126837.07, 128450.83, 1070.19, 130918.98
jp50, 70, 19, 127357.54, 128927.09, 1056.24, 131143.05
jp50, 71, 19, 127805.91, 129265.47, 952.55, 131393.42
jp50, 72, 19, 128108.51, 129520.57, 886.43, 131608.87
jp50, 73, 19, 128584.52, 129903.14, 875.68, 133346.47
jp50, 74, 19, 128811.24, 130182.93, 788.13, 133346.47
jp50, 75, 19, 129465.46, 130482.55, 690.72, 133346.47
jp50, 76, 19, 129743.01, 130794.11, 819.51, 135845.08
jp50, 77, 19, 129957.14, 130929.62, 798.72, 135845.08
jp50, 78, 19, 130205.85, 131163.22, 837.14, 135845.08
jp50, 79, 19, 130636.80, 131478.86, 999.49, 135984.79
jp50, 80, 19, 130858.06, 131878.29, 1199.00, 136798.58
jp50, 81, 19, 130925.70, 132237.60, 1419.86, 137276.29
jp50, 82, 19, 130965.32, 132465.08, 1409.13, 137276.29
jp50, 83, 19, 131393.42, 132859.62, 1463.70, 137343.51
jp50, 84, 19, 131393.42, 133113.86, 1470.03, 137343.51
jp50, 85, 19, 131608.87, 133432.82, 1455.67, 137343.51
jp50, 86, 19, 132214.68, 134001.72, 1477.12, 137343.51
jp50, 87, 19, 132638.36, 134414.45, 1479.11, 137343.51
jp50, 88, 19, 132954.04, 134908.96, 1468.63, 137343.51
jp50, 89, 19, 133346.47, 135545.49, 1605.32, 144402.52
jp50, 90, 19, 133805.12, 136138.76, 1342.15, 144402.52
jp50, 91, 19, 134711.95, 136589.68, 1088.78, 144402.52
jp50, 92, 19, 135829.71, 136877.16, 913.83, 144402.52
jp50, 93, 19, 136126.08, 137155.57, 1008.98, 144402.52
jp50, 94, 19, 136455.86, 137358.61, 1256.78, 144402.52
jp50, 95, 19, 136752.41, 137536.62, 1392.63, 144402.52
jp50, 96, 19, 136798.58, 137800.40, 1742.93, 144987.28
jp50, 97, 19, 136834.43, 138062.86, 1939.90, 144987.28
jp50, 98, 19, 137032.37, 138603.11, 2258.12, 144987.28
jp50, 99, 19, 137276.29, 139098.02, 2417.20, 144987.28
jp50, 100, 19, 137343.51, 139803.71, 2662.72, 144987.28
jp50, 0, 20, -883084.58, -526204.65, 128308.70, -0.00
jp50, 1, 20, -731139.50, -495285.50, 122273.33, 1214.92
jp50, 2, 20, -652858.61, -466661.94, 128476.59, 1214.92
jp50, 3, 20, -610847.67, -431429.66, 149917.12, 1214.92
jp50, 4, 20, -574645.81, -398500.61, 158272.78, 1214.92
jp50, 5, 20, -529039.36, -326673.62, 186517.12, 20247.71
jp50, 6, 20, -480664.72, -247452.72, 191706.37, 26481.14
jp50, 7, 20, -436571.57, -161768.40, 177433.58, 26926.18
jp50, 8, 20, -343679.37, -66297.28, 116265.71, 32248.58
jp50, 9, 20, -223961.34, -14775.79, 55474.36, 66301.00
jp50, 10, 20, -26982.89, 8007.67, 13962.99, 66301.00
jp50, 11, 20, -0.00, 12528.14, 12815.72, 66301.00
jp50, 12, 20, -0.00, 16667.03, 13283.50, 66301.00
jp50, 13, 20, 1211.46, 21554.31, 12010.20, 66301.00
jp50, 14, 20, 11238.88, 26801.69, 9602.40, 66301.00
jp50, 15, 20, 20037.66, 31627.37, 10376.71, 66301.00
jp50, 16, 20, 25404.49, 34777.54, 11449.36, 66933.31
jp50, 17, 20, 26721.17, 40821.26, 13356.32, 71445.44
jp50, 18, 20, 30015.62, 48097.50, 13831.00, 82791.77
jp50, 19, 20, 33173.44, 54856.37, 12174.87, 82791.77
jp50, 20, 20, 42090.94, 59811.22, 10818.32, 82791.77
jp50, 21, 20, 46614.97, 63936.40, 8648.15, 82791.77
jp50, 22, 20, 54052.43, 66315.27, 7552.42, 85001.85
jp50, 23, 20, 58426.11, 68914.32, 6962.90, 86910.89
jp50, 24, 20, 61566.95, 71345.21, 7025.67, 97685.51
jp50, 25, 20, 64991.82, 74483.42, 7188.66, 97685.51
jp50, 26, 20, 67692.24, 77815.89, 7007.14, 99788.81
jp50, 27, 20, 71445.44, 80822.51, 6620.83, 101111.08
jp50, 28, 20, 74187.36, 83562.68, 6599.80, 106062.75
jp50, 29, 20, 77560.10, 86584.89, 6402.46, 106062.75
jp50, 30, 20, 80273.18, 88947.71, 6650.61, 106062.75
jp50, 31, 20, 82791.77, 91442.78, 7231.30, 107593.25
jp50, 32, 20, 85134.04, 93865.56, 7379.44, 107593.25
jp50, 33, 20, 86731.81, 96952.08, 6901.52, 107923.92
jp50, 34, 20, 89298.89, 99983.05, 6020.47, 115143.65
jp50, 35, 20, 93329.73, 102851.25, 4557.44, 115143.65
jp50, 36, 20, 98782.39, 104491.85, 4265.26, 120860.29
jp50, 37, 20, 100161.21, 105706.97, 4030.72, 120860.29
jp50, 38, 20, 102628.47, 107845.56, 4804.56, 124541.97
jp50, 39, 20, 104259.50, 110197.44, 5545.31, 126173.42
